model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
voter,2.0,rho_2,,200,0.2,3,3000,1200314,14,0,1.832,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200315,15,0,1.8939,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200316,16,0,1.8277,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200317,17,0,2.0105,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200318,18,0,1.9414,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.2,3,3000,1200319,19,0,1.7758,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200400,0,0,1.9225,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200401,1,0,2.0946,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200402,2,0,2.2111,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200403,3,0,2.0297,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200404,4,0,2.1459,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200405,5,0,2.0606,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200406,6,0,2.0304,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200407,7,0,1.8279,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200408,8,0,2.1245,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200409,9,0,1.9436,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200410,10,0,2.1192,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200411,11,0,2.0802,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200412,12,0,2.1147,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200413,13,0,2.4418,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200414,14,0,2.1776,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200415,15,0,2.2706,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200416,16,0,2.8207,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200417,17,0,2.1809,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200418,18,0,2.3591,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.3,4,3000,1200419,19,0,2.1927,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200500,0,0,2.1269,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200501,1,0,2.0136,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200502,2,0,2.2072,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200503,3,0,2.5441,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200504,4,0,2.2885,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200505,5,0,2.0686,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200506,6,0,2.1226,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200507,7,0,2.2278,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200508,8,0,2.0338,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200509,9,0,2.0971,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200510,10,0,2.0222,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200511,11,0,2.1333,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200512,12,0,2.1926,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200513,13,0,2.0189,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200514,14,0,1.9618,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200515,15,0,2.2239,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200516,16,0,2.1264,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200517,17,0,2.2438,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200518,18,0,2.0488,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,,200,0.4,5,3000,1200519,19,0,2.0334,,final_fine_grid_steps3000_R20_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400100,0,0,1.9135,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_000_seed_1400100,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400101,1,0,1.7741,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_001_seed_1400101,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400102,2,0,1.8271,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_002_seed_1400102,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400103,3,0,1.8021,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_003_seed_1400103,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400104,4,0,1.6909,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_004_seed_1400104,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400105,5,0,1.7638,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_005_seed_1400105,final_voter_base_coarse_v1
voter,2.0,rho_2,2.0,200,0.5,1,3000,1400106,6,0,1.718,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_0p5/steps_3000/realization_006_seed_1400106,final_voter_base_coarse_v1
