model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path,source_run
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250813,13,0,0.3597,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250814,14,0,0.3698,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250815,15,0,0.3784,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250816,16,0,0.3824,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250817,17,0,0.3533,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250818,18,0,0.4063,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,1.0,8,3000,1250819,19,0,0.423,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250900,0,0,0.3999,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250901,1,0,0.3895,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250902,2,0,0.4207,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250903,3,0,0.4114,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250904,4,0,0.3945,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250905,5,0,0.3926,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250906,6,0,0.397,,vicsek_lowrho_cluster_study_1
vicsek,0.3183098861837907,rho_1_over_pi,,32,2.0,9,3000,1250907,7,0,0.3196,,vicsek_lowrho_cluster_study_1
