model,rho_label,eta,t,realizations,va_mean,va_stdev,va_stderr,S_mean,S_stdev,S_stderr,source_run
vicsek,rho_1_over_pi,3.2000000000000002,1200,20,0.2884457222854498,0.10611755067196295,0.023728605690828762,0.303125,0.10601997158554609,0.02370678634378772,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1250,20,0.22943434683640068,0.09320733470339547,0.020841793639836747,0.328125,0.11796616305110547,0.02637803596270958,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1300,20,0.2245004087149554,0.07469252721937844,0.016701756827378355,0.34375,0.08326820371546392,0.018619336387207787,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1350,20,0.2306566385715744,0.1072387466106291,0.023979312724324183,0.3140625,0.08865036220315177,0.019822823611622537,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1400,20,0.2339706358751803,0.1301356799648773,0.029099222669962305,0.353125,0.1073927517339974,0.02401374931679766,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1450,20,0.2166732794986955,0.14755984644807274,0.03299538474073215,0.353125,0.10555841096284085,0.023603578250977118,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1500,20,0.23569140322141413,0.11389921689939365,0.025468639157103703,0.340625,0.0997555606219523,0.022306021468428652,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1550,20,0.25962269253390075,0.10788063440881696,0.024122843199391755,0.3046875,0.09420462684364288,0.021064794941738692,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1600,20,0.2936612580983062,0.1251107520808707,0.027975614636895012,0.315625,0.0997555606219523,0.022306021468428652,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1650,20,0.2737365189125963,0.1465832740476943,0.03277701651351252,0.309375,0.08609360821222445,0.0192511160390768,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1700,20,0.2481661851713907,0.13403579636857044,0.029971315209844293,0.3484375,0.08686994139948524,0.01942470941706722,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1750,20,0.18752426887252388,0.10738121593620287,0.02401116983399333,0.3015625,0.08105445218339336,0.018124326496107377,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1800,20,0.2021702759772115,0.09632407332239683,0.02153871758185533,0.3046875,0.0758255347409433,0.016955105011102114,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1850,20,0.29356151809301234,0.09709500601503371,0.021711103372536632,0.3078125,0.09337163230205414,0.020878531699750822,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1900,20,0.2361141741091813,0.10432548000682587,0.023327886508055787,0.328125,0.13531646934131855,0.030257682392245445,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,1950,20,0.3075371557715385,0.1356149848292668,0.030324432484584322,0.35625,0.12899854650343934,0.028844951898035816,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2000,20,0.2501107813102214,0.12527216256051,0.028011707117370443,0.35,0.09812699042567238,0.021941862101927445,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2050,20,0.23525110345381522,0.11759530833528535,0.026295110327274565,0.33125,0.0960143218483576,0.021469455046647084,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2100,20,0.24881341761637438,0.124936444472258,0.027936638270709673,0.3453125,0.09399707026684395,0.021018383880248737,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2150,20,0.2583274625324431,0.1584862784584112,0.0354386092133968,0.3484375,0.08284197588632226,0.018524028947221497,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2200,20,0.26737831317426064,0.11874165781150252,0.026551441862753853,0.35,0.10852347096365836,0.02426658582289647,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2250,20,0.20159144019702196,0.09962548111613204,0.022276934806679284,0.340625,0.08833308765689106,0.019751878866325602,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2300,20,0.2499986275572812,0.0881262908681241,0.019705637698604443,0.35,0.09196211855976351,0.020563354845452624,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2350,20,0.25429187312063656,0.09515048344631584,0.021276294907793068,0.359375,0.09296546737902198,0.020787710461953234,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2400,20,0.2852417419700976,0.10431644650456805,0.023325866555543445,0.3765625,0.08354627740809281,0.018681515555155046,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2450,20,0.24235792632977943,0.09609833407540638,0.021488240751709305,0.4125,0.1224744871391589,0.027386127875258303,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2500,20,0.20720099692199137,0.0936341886624696,0.020937241086732214,0.3765625,0.1052689078918842,0.023538843396341713,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2550,20,0.2643362417316592,0.1281610533406149,0.02865768273375914,0.375,0.09581068572972433,0.021423920626253264,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2600,20,0.2362568661310028,0.10264066264223638,0.022951149892366372,0.4015625,0.11408390210169882,0.025509936023782966,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2650,20,0.2592780793099309,0.10827352066955104,0.024210695238034464,0.43125,0.13785465625070487,0.030825238239144237,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2700,20,0.2698482293852389,0.1340434504174143,0.029973026707196093,0.4359375,0.16101333164912152,0.0360036754851154,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2750,20,0.2064438296674782,0.10481761880686535,0.023437932089181133,0.3890625,0.11878083481248143,0.026560202106488195,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2800,20,0.2543184022964771,0.15602711583910042,0.03488872373494627,0.375,0.11692679333668567,0.026145625829189858,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2850,20,0.2629505290527613,0.09887382089034215,0.02210885847059438,0.3609375,0.10891644948652154,0.024354458491978422,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2900,20,0.23320790013557063,0.13886463050805403,0.031051075348639996,0.375,0.1152443057161611,0.02576941016011038,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,2950,20,0.26705642775729366,0.12589405627715816,0.028150766779890975,0.3859375,0.1395007140438715,0.03119330795118562,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.2000000000000002,3000,20,0.24429994674941674,0.10929067624724645,0.024438138139576467,0.3859375,0.11578325318779914,0.02588992247839881,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,0,20,0.14458561487727462,0.06547378431906814,0.014640383248159614,0.15625,0.05321683239352001,0.011899645477912358,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,50,20,0.1858787176362541,0.0865831764823056,0.019360586832229642,0.1796875,0.06545737520516691,0.014636714058746244,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,100,20,0.17564172399311812,0.07371889207711825,0.016484045391040706,0.1875,0.055021302692684404,0.012303137303143453,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
vicsek,rho_1_over_pi,3.3999999999999999,150,20,0.20457007735752436,0.072989081955004,0.01632085488666922,0.1921875,0.05700448858423343,0.012746591149695669,vicsek_lowrho_dense_eta_grid_steps3000_R20_v1
