model,rho_nominal,rho_label,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,source_run
vicsek,2.0,rho_2,200,0.2,3,3000,1100310,10,0,1.8908,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100311,11,0,1.8076,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100312,12,0,1.6511,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100313,13,0,1.8071,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100314,14,0,1.8848,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100315,15,0,1.7276,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100316,16,0,1.7598,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100317,17,0,1.7346,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100318,18,0,1.8878,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.2,3,3000,1100319,19,0,1.732,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100400,0,0,1.7029,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100401,1,0,1.677,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100402,2,0,1.7083,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100403,3,0,1.6736,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100404,4,0,1.7617,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100405,5,0,1.6647,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100406,6,0,1.6691,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100407,7,0,1.7778,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100408,8,0,1.764,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100409,9,0,1.7711,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100410,10,0,1.6397,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100411,11,0,1.6653,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100412,12,0,1.7005,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100413,13,0,1.696,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100414,14,0,1.658,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100415,15,0,1.6266,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100416,16,0,1.6468,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100417,17,0,1.611,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100418,18,0,1.7807,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.3,4,3000,1100419,19,0,1.7451,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100500,0,0,1.836,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100501,1,0,1.7433,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100502,2,0,1.7533,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100503,3,0,1.7046,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100504,4,0,1.7437,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100505,5,0,1.7959,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100506,6,0,1.6023,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100507,7,0,1.9035,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100508,8,0,1.7029,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100509,9,0,1.8201,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100510,10,0,1.7452,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100511,11,0,1.8136,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100512,12,0,1.778,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100513,13,0,1.8406,final_fine_grid_steps3000_R20_v1
vicsek,2.0,rho_2,200,0.4,5,3000,1100514,14,0,1.7573,final_fine_grid_steps3000_R20_v1
