model,rho_nominal,rho_label,rho_effective,N,eta,eta_index,steps,base_seed,realization,returncode,elapsed_s,output_path
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400500,0,0,1.6417,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_000_seed_1400500
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400501,1,0,1.7787,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_001_seed_1400501
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400502,2,0,1.6476,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_002_seed_1400502
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400503,3,0,1.6712,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_003_seed_1400503
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400504,4,0,1.6697,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_004_seed_1400504
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400505,5,0,1.6561,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_005_seed_1400505
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400506,6,0,1.6116,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_006_seed_1400506
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400507,7,0,1.5861,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_007_seed_1400507
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400508,8,0,1.5271,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_008_seed_1400508
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400509,9,0,1.5745,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_009_seed_1400509
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400510,10,0,1.5293,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_010_seed_1400510
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400511,11,0,1.545,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_011_seed_1400511
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400512,12,0,1.5542,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_012_seed_1400512
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400513,13,0,1.5247,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_013_seed_1400513
voter,2.0,rho_2,2.0,200,4.0,5,3000,1400514,14,0,1.5317,data/pilots/final_voter_base_coarse_v1/voter/rho_2/eta_4/steps_3000/realization_014_seed_1400514
